number,name,status
521,Managing global context via ‘with’ blocks in generators and coroutines,
517,A build-system independent format for source trees,
518,Specifying Minimum Build System Requirements for Python Projects,
519,Adding a file system path protocol,
520,Preserving Class Attribute Definition Order,
516,Build system abstraction for pip/conda etc,
515,Underscores in Numeric Literals,
514,Python registration in the Windows registry,
513,A Platform Tag for Portable Linux Built Distributions,
512,Migrating from hg.python.org to GitHub,
510,Specialize functions with guards,
511,API for code transformers,
509,Add a private version to dict,
508,Dependency specification for Python Software Packages,
507,Migrate CPython to Git and GitLab,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
504,Using the System RNG by default,
503,Simple Repository API,
502,String Interpolation - Extended Discussion,
501,General purpose string interpolation,
500,A protocol for delegating datetime methods to their tzinfo implementations,
498,Literal String Interpolation,
499,python -m foo should bind sys.modules['foo'] in addition to sys.modules['__main__'],
497,A standard mechanism for backward compatibility,
496,Environment Markers,
494,Python 3.6 Release Schedule,
495,Local Time Disambiguation,
492,Coroutines with async and await syntax,
493,HTTPS verification migration tools for Python 2.7,
491,The Wheel Binary Package Format 1.9,
490,Chain exceptions at C level,
484,Type Hints,
489,Multi-phase extension module initialization,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
485,A Function for testing approximate equality,
486,Make the Python Launcher aware of virtual environments,
482,Literature Overview for Type Hints,
483,The Theory of Type Hints,
481,"Migrate CPython to Git, Github, and Phabricator",
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
479,Change StopIteration handling inside generators,
478,Python 3.5 Release Schedule,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,
474,Creating forge.python.org,
473,Adding structured data to built-in exceptions,
475,Retry system calls failing with EINTR,
472,Support for indexing with keyword arguments,
471,os.scandir() function – a better and faster directory iterator,
470,Removing External Hosting Support on PyPI,
468,Preserving the order of **kwargs in a function.,
469,Migration of dict iteration code to Python 3,
466,Network Security Enhancements for Python 2.7.x,
467,Minor API improvements for binary sequences,
465,A dedicated infix operator for matrix multiplication,
464,Removal of the PyPI Mirror Authenticity API,
463,Exception-catching expressions,
462,Core development workflow automation for CPython,
461,Adding % formatting to bytes and bytearray,
460,Add binary interpolation and formatting,
459,Standard Metadata Extensions for Python Software Packages,
456,Secure and interchangeable hash algorithm,
458,Secure PyPI downloads with signed repository metadata,
457,Notation For Positional-Only Parameters,
455,Adding a key-transforming dictionary to collections,
451,A ModuleSpec Type for the Import System,
453,Explicit bootstrapping of pip in Python installations,
454,Add a new tracemalloc module to trace Python memory allocations,
452,API for Cryptographic Hash Functions v2.0,
450,Adding A Statistics Module To The Standard Library,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
448,Additional Unpacking Generalizations,
447,Add __getdescriptor__ method to metaclass,
446,Make newly created file descriptors non-inheritable,
445,Add new APIs to customize Python memory allocators,
442,Safe object finalization,
444,Python Web3 Interface,
443,Single-dispatch generic functions,
441,Improving Python ZIP Application Support,
440,Version Identification and Dependency Specification,
436,The Argument Clinic DSL,
439,Inclusion of implicit pip bootstrap in Python installation,
437,"A DSL for specifying signatures, annotations and argument converters",
435,Adding an Enum type to the Python standard library,
438,Transitioning to release-file hosting on PyPI,
433,Easier suppression of file descriptor inheritance,
434,IDLE Enhancement Exception for All Branches,
431,Time zone support improvements,
432,Restructuring the CPython startup sequence,
430,Migrating to Python 3 as the default online documentation,
428,The pathlib module – object-oriented filesystem paths,
429,Python 3.4 Release Schedule,
427,The Wheel Binary Package Format 1.0,
425,Compatibility Tags for Built Distributions,
426,Metadata for Python Software Packages 2.0,
422,Simpler customisation of class creation,
423,Naming conventions and recipes related to packaging,
424,A method for exposing a length hint,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
418,"Add monotonic time, performance counter, and process time functions",
417,Including mock in the Standard Library,
419,Protecting cleanup statements from interruptions,
415,Implement context suppression with exception attributes,
416,Add a frozendict builtin type,
414,Explicit Unicode Literal for Python 3.3,
411,Provisional packages in the Python standard library,
412,Key-Sharing Dictionary,
410,Use decimal.Decimal type for timestamps,
409,Suppressing exception context,
413,Faster evolution of the Python Standard Library,
406,Improved Encapsulation of Import State,
407,New release cycle and introducing long-term support versions,
408,Standard library __preview__ package,
405,Python Virtual Environments,
404,Python 2.8 Un-release Schedule,
401,BDFL Retirement,
403,General purpose decorator clause (aka “@in” clause),
402,Simplified Package Layout and Partitioning,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
399,Pure Python/C Accelerator Module Compatibility Requirements,
397,Python launcher for Windows,
398,Python 3.3 Release Schedule,
396,Module Version Numbers,
394,The “python” Command on Unix-Like Systems,
395,Qualified Names for Modules,
393,Flexible String Representation,
391,Dictionary-Based Configuration For Logging,
392,Python 3.2 Release Schedule,
390,Static metadata for Distutils,
387,Backwards Compatibility Policy,
389,argparse - New Command Line Parsing Module,
386,Changing the version comparison module in Distutils,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
382,Namespace Packages,
383,Non-decodable Bytes in System Character Interfaces,
381,Mirroring infrastructure for PyPI,
380,Syntax for Delegating to a Subgenerator,
379,Adding an Assignment Expression,
378,Format Specifier for Thousands Separator,
377,Allow __enter__() methods to skip the statement body,
376,Database of Installed Python Distributions,
373,Python 2.7 Release Schedule,
374,Choosing a distributed VCS for the Python project,
372,Adding an ordered dictionary to collections,
375,Python 3.1 Release Schedule,
370,Per user site-packages directory,
371,Addition of the multiprocessing package to the standard library,
369,Post import hooks,
366,Main module explicit relative imports,
368,Standard image protocol and class,
367,New Super,
365,Adding the pkg_resources module,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
362,Function Signature Object,
361,Python 2.6 and 3.0 Release Schedule,
360,Externally Maintained Packages,
359,The “make” Statement,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
355,Path - Object oriented filesystem paths,
356,Python 2.5 Release Schedule,
354,Enumerations in Python,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
351,The freeze protocol,
350,Codetags,
349,Allow str() to return unicode strings,
348,Exception Reorganization for Python 3.0,
347,Migrating the Python CVS to Subversion,
345,Metadata for Python Software Packages 1.2,
346,User Defined (”with”) Statements,
344,Exception Chaining and Embedded Tracebacks,
343,The “with” Statement,
341,Unifying try-except and try-finally,
342,Coroutines via Enhanced Generators,
339,Design of the CPython Compiler,
340,Anonymous Block Statements,
338,Executing modules as scripts,
337,Logging Usage in the Standard Library,
336,Make None Callable,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
333,Python Web Server Gateway Interface v1.0,
332,Byte vectors and String/Unicode Unification,
331,Locale-Independent Float/String Conversions,
329,Treating Builtins as Constants in the Standard Library,
330,Python Bytecode Verification,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
324,subprocess - New process module,
323,Copyable Iterators,
321,Date/Time Parsing and Formatting,
322,Reverse Iteration,
320,Python 2.4 Release Schedule,
319,Python Synchronize/Asynchronize Block,
318,Decorators for Functions and Methods,
317,Eliminate Implicit Exception Instantiation,
316,Programming by Contract for Python,
315,Enhanced While Loop,
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,
312,Simple Implicit Lambda,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
310,Reliable Acquisition/Release Pairs,
309,Partial Function Application,
308,Conditional Expressions,
306,How to Change Python’s Grammar,
305,CSV File API,
307,Extensions to the pickle protocol,
302,New Import Hooks,
304,Controlling Generation of Bytecode Files,
303,Extend divmod() for Multiple Divisors,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
297,Support for System Upgrades,
296,Adding a bytes Object Type,
298,The Locked Buffer Interface,
295,Interpretation of multiline string constants,
294,Type Names in the types Module,
293,Codec Error Handling Callbacks,
292,Simpler String Substitutions,
291,Backward Compatibility for the Python 2 Standard Library,
290,Code Migration and Modernization,
289,Generator Expressions,
288,Generators Attributes and Exceptions,
287,reStructuredText Docstring Format,
286,Enhanced Argument Tuples,
285,Adding a bool type,
284,Integer for-loops,
283,Python 2.3 Release Schedule,
281,Loop Counter Iteration with range and xrange,
282,A Logging System,
280,Optimizing access to globals,
278,Universal Newline Support,
279,The enumerate() built-in function,
276,Simple Iterator for ints,
277,Unicode file name support for Windows NT,
274,Dict Comprehensions,
275,Switching on Multiple Values,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
271,Prefixing sys.path by command line option,
270,uniq method for list objects,
269,Pgen Module for Python,
268,Extended HTTP functionality and WebDAV,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
264,Future statements in simulated shells,
265,Sorting Dictionaries by Value,
257,Docstring Conventions,
263,Defining Python Source Code Encodings,
262,A Database of Installed Python Packages,
261,Support for “wide” Unicode characters,
259,Omit printing newline after newline,
260,Simplify xrange(),
258,Docutils Design Specification,
256,Docstring Processing System Framework,
255,Simple Generators,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
251,Python 2.2 Release Schedule,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
247,API for Cryptographic Hash Functions,
244,The directive statement,
245,Python Interface Syntax,
246,Object Adaptation,
243,Module Repository Upload Mechanism,
242,Numeric Kinds,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
238,Changing the Division Operator,
237,Unifying Long Integers and Integers,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
234,Iterators,
232,Function Attributes,
233,Python Online Help,
230,Warning Framework,
229,Using Distutils to Build Python,
231,__findattr__(),
228,Reworking Python’s Numeric Model,
227,Statically Nested Scopes,
226,Python 2.1 Release Schedule,
225,Elementwise/Objectwise Operators,
224,Attribute Docstrings,
208,Reworking the Coercion Model,
207,Rich Comparisons,
206,Python Advanced Library,
204,Range Literals,
205,Weak References,
203,Augmented Assignments,
202,List Comprehensions,
201,Lockstep Iteration,
200,Python 2.0 Release Schedule,
160,Python 1.6 Release Schedule,
103,Collecting information about git,
102,Doing Python Micro Releases,
20,The Zen of Python,
100,Python Unicode Integration,
101,Doing Python Releases 101,
42,Feature Requests,
13,Python Language Governance,
12,Sample reStructuredText PEP Template,
8,Style Guide for Python Code,
11,CPython platform support,
10,Voting Guidelines,
9,Sample Plaintext PEP Template,
7,Style Guide for C Code,
6,Bug Fix Releases,
5,Guidelines for Language Evolution,
4,Deprecation of Standard Modules,
2,Procedure for Adding New Modules,
3,Guidelines for Handling Bug Reports,
