number,name,status
626,Precise line numbers for debugging and other tools.,
625,Filename of a Source Distribution,
623,Remove wstr from Unicode,
624,Remove Py_UNICODE encoder APIs,
620,Hide implementation details from the C API,
621,Storing project metadata in pyproject.toml,
619,Python 3.10 Release Schedule,
622,Structural Pattern Matching,
618,Add Optional Length-Checking To zip,
616,String methods to remove prefixes and suffixes,
617,New PEG parser for CPython,
614,Relaxing Grammar Restrictions On Decorators,
615,Support for the IANA Time Zone Database in the Standard Library,
611,The one million limit,
613,Explicit Type Aliases,
612,Parameter Specification Variables,
610,Recording the Direct URL Origin of installed distributions,
609,Python Packaging Authority (PyPA) Governance,
608,Coordinated Python release,
607,Reducing CPython’s Feature Delivery Latency,
606,Python Compatibility Version,
605,A rolling feature release stream for CPython,
604,Allow writing union types as X | Y,
603,Adding a frozenmap type to collections,
601,Forbid return/break/continue breaking out of finally,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
598,Introducing incremental feature releases,
599,The manylinux2014 Platform Tag,
595,Improving bugs.python.org,
597,Add optional EncodingWarning,
596,Python 3.9 Release Schedule,
594,Removing dead batteries from the standard library,
592,Adding “Yank” Support to the Simple API,
593,Flexible function and variable annotations,
591,Adding a final qualifier to typing,
602,Annual Release Cycle for Python,
590,Vectorcall: a fast calling protocol for CPython,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
588,GitHub Issues Migration Plan,
587,Python Initialization Configuration,
586,Literal Types,
585,Type Hinting Generics In Standard Collections,
584,Add Union Operators To dict,
583,A Concurrency Memory Model for Python,
582,Python local packages directory,
580,The C call protocol,
581,Using GitHub Issues for CPython,
576,Rationalize Built-in function classes,
578,Python Runtime Audit Hooks,
577,Augmented Assignment Expressions,
579,Refactoring C functions and methods,
575,Unifying function/method classes,
573,Module State Access from C Extension Methods,
571,The manylinux2010 Platform Tag,
574,Pickle protocol 5 with out-of-band data,
572,Assignment Expressions,
570,Python Positional-Only Parameters,
569,Python 3.8 Release Schedule,
568,Generator-sensitivity for Context Variables,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
564,Add new time functions with nanosecond resolution,
565,Show DeprecationWarning in __main__,
563,Postponed Evaluation of Annotations,
559,Built-in noop(),
562,Module __getattr__ and __dir__,
560,Core support for typing module and generic types,
561,Distributing and Packaging Type Information,
558,Defined semantics for locals(),
557,Data Classes,
555,Context-local variables (contextvars),
554,Multiple Interpreters in the Stdlib,
556,Threaded garbage collection,
553,Built-in breakpoint(),
552,Deterministic pycs,
549,Instance Descriptors,
550,Execution Context,
551,Security transparency in the Python runtime,
547,Running extension modules using the -m option,
548,More Flexible Loop Control,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
545,Python Documentation Translations,
544,Protocols: Structural subtyping (static duck typing),
543,A Unified TLS API for Python,
542,Dot Notation Assignment In Function Header,
537,Python 3.7 Release Schedule,
538,Coercing the legacy C locale to a UTF-8 based locale,
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
541,Package Index Name Retention,
535,Rich comparison chaining,
536,Final Grammar for Literal String Interpolation,
534,Improved Errors for Missing Standard Library Modules,
533,Deterministic cleanup for iterators,
530,Asynchronous Comprehensions,
532,A circuit breaking protocol and binary operators,
531,Existence checking operators,
529,Change Windows filesystem encoding to UTF-8,
528,Change Windows console encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
526,Syntax for Variable Annotations,
525,Asynchronous Generators,
523,Adding a frame evaluation API to CPython,
524,Make os.urandom() blocking on Linux,
522,Allow BlockingIOError in security sensitive APIs,
520,Preserving Class Attribute Definition Order,
521,Managing global context via ‘with’ blocks in generators and coroutines,
519,Adding a file system path protocol,
517,A build-system independent format for source trees,
518,Specifying Minimum Build System Requirements for Python Projects,
516,Build system abstraction for pip/conda etc,
515,Underscores in Numeric Literals,
514,Python registration in the Windows registry,
513,A Platform Tag for Portable Linux Built Distributions,
511,API for code transformers,
512,Migrating from hg.python.org to GitHub,
509,Add a private version to dict,
510,Specialize functions with guards,
508,Dependency specification for Python Software Packages,
507,Migrate CPython to Git and GitLab,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
504,Using the System RNG by default,
503,Simple Repository API,
501,General purpose string interpolation,
502,String Interpolation - Extended Discussion,
499,python -m foo should bind sys.modules['foo'] in addition to sys.modules['__main__'],
500,A protocol for delegating datetime methods to their tzinfo implementations,
498,Literal String Interpolation,
497,A standard mechanism for backward compatibility,
496,Environment Markers,
495,Local Time Disambiguation,
494,Python 3.6 Release Schedule,
492,Coroutines with async and await syntax,
491,The Wheel Binary Package Format 1.9,
493,HTTPS verification migration tools for Python 2.7,
490,Chain exceptions at C level,
489,Multi-phase extension module initialization,
488,Elimination of PYO files,
487,Simpler customisation of class creation,
486,Make the Python Launcher aware of virtual environments,
485,A Function for testing approximate equality,
484,Type Hints,
482,Literature Overview for Type Hints,
483,The Theory of Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
481,"Migrate CPython to Git, Github, and Phabricator",
479,Change StopIteration handling inside generators,
478,Python 3.5 Release Schedule,
477,Backport ensurepip (PEP 453) to Python 2.7,
473,Adding structured data to built-in exceptions,
475,Retry system calls failing with EINTR,
476,Enabling certificate verification by default for stdlib http clients,
474,Creating forge.python.org,
470,Removing External Hosting Support on PyPI,
472,Support for indexing with keyword arguments,
471,os.scandir() function – a better and faster directory iterator,
467,Minor API improvements for binary sequences,
468,Preserving the order of **kwargs in a function.,
469,Migration of dict iteration code to Python 3,
466,Network Security Enhancements for Python 2.7.x,
464,Removal of the PyPI Mirror Authenticity API,
463,Exception-catching expressions,
462,Core development workflow automation for CPython,
461,Adding % formatting to bytes and bytearray,
465,A dedicated infix operator for matrix multiplication,
459,Standard Metadata Extensions for Python Software Packages,
457,Notation For Positional-Only Parameters,
460,Add binary interpolation and formatting,
458,Secure PyPI downloads with signed repository metadata,
456,Secure and interchangeable hash algorithm,
454,Add a new tracemalloc module to trace Python memory allocations,
455,Adding a key-transforming dictionary to collections,
453,Explicit bootstrapping of pip in Python installations,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
450,Adding A Statistics Module To The Standard Library,
448,Additional Unpacking Generalizations,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
446,Make newly created file descriptors non-inheritable,
447,Add __getdescriptor__ method to metaclass,
441,Improving Python ZIP Application Support,
444,Python Web3 Interface,
445,Add new APIs to customize Python memory allocators,
442,Safe object finalization,
443,Single-dispatch generic functions,
439,Inclusion of implicit pip bootstrap in Python installation,
440,Version Identification and Dependency Specification,
438,Transitioning to release-file hosting on PyPI,
437,"A DSL for specifying signatures, annotations and argument converters",
436,The Argument Clinic DSL,
434,IDLE Enhancement Exception for All Branches,
435,Adding an Enum type to the Python standard library,
433,Easier suppression of file descriptor inheritance,
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
430,Migrating to Python 3 as the default online documentation,
429,Python 3.4 Release Schedule,
428,The pathlib module – object-oriented filesystem paths,
427,The Wheel Binary Package Format 1.0,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
423,Naming conventions and recipes related to packaging,
426,Metadata for Python Software Packages 2.0,
422,Simpler customisation of class creation,
421,Adding sys.implementation,
418,"Add monotonic time, performance counter, and process time functions",
419,Protecting cleanup statements from interruptions,
417,Including mock in the Standard Library,
416,Add a frozendict builtin type,
415,Implement context suppression with exception attributes,
414,Explicit Unicode Literal for Python 3.3,
420,Implicit Namespace Packages,
412,Key-Sharing Dictionary,
413,Faster evolution of the Python Standard Library,
411,Provisional packages in the Python standard library,
410,Use decimal.Decimal type for timestamps,
409,Suppressing exception context,
408,Standard library __preview__ package,
406,Improved Encapsulation of Import State,
407,New release cycle and introducing long-term support versions,
405,Python Virtual Environments,
404,Python 2.8 Un-release Schedule,
402,Simplified Package Layout and Partitioning,
403,General purpose decorator clause (aka “@in” clause),
401,BDFL Retirement,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
397,Python launcher for Windows,
398,Python 3.3 Release Schedule,
396,Module Version Numbers,
399,Pure Python/C Accelerator Module Compatibility Requirements,
395,Qualified Names for Modules,
394,The “python” Command on Unix-Like Systems,
390,Static metadata for Distutils,
393,Flexible String Representation,
391,Dictionary-Based Configuration For Logging,
392,Python 3.2 Release Schedule,
389,argparse - New Command Line Parsing Module,
387,Backwards Compatibility Policy,
386,Changing the version comparison module in Distutils,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
382,Namespace Packages,
383,Non-decodable Bytes in System Character Interfaces,
381,Mirroring infrastructure for PyPI,
380,Syntax for Delegating to a Subgenerator,
379,Adding an Assignment Expression,
377,Allow __enter__() methods to skip the statement body,
378,Format Specifier for Thousands Separator,
376,Database of Installed Python Distributions,
373,Python 2.7 Release Schedule,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
372,Adding an ordered dictionary to collections,
370,Per user site-packages directory,
371,Addition of the multiprocessing package to the standard library,
369,Post import hooks,
368,Standard image protocol and class,
367,New Super,
364,Transitioning to the Py3K Standard Library,
365,Adding the pkg_resources module,
366,Main module explicit relative imports,
362,Function Signature Object,
363,Syntax For Dynamic Attribute Access,
361,Python 2.6 and 3.0 Release Schedule,
360,Externally Maintained Packages,
359,The “make” Statement,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
356,Python 2.5 Release Schedule,
355,Path - Object oriented filesystem paths,
353,Using ssize_t as the index type,
354,Enumerations in Python,
352,Required Superclass for Exceptions,
351,The freeze protocol,
349,Allow str() to return unicode strings,
348,Exception Reorganization for Python 3.0,
350,Codetags,
347,Migrating the Python CVS to Subversion,
345,Metadata for Python Software Packages 1.2,
344,Exception Chaining and Embedded Tracebacks,
343,The “with” Statement,
342,Coroutines via Enhanced Generators,
346,User Defined (”with”) Statements,
341,Unifying try-except and try-finally,
340,Anonymous Block Statements,
338,Executing modules as scripts,
337,Logging Usage in the Standard Library,
339,Design of the CPython Compiler,
336,Make None Callable,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
333,Python Web Server Gateway Interface v1.0,
332,Byte vectors and String/Unicode Unification,
331,Locale-Independent Float/String Conversions,
330,Python Bytecode Verification,
329,Treating Builtins as Constants in the Standard Library,
328,Imports: Multi-Line and Absolute/Relative,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
327,Decimal Data Type,
324,subprocess - New process module,
323,Copyable Iterators,
322,Reverse Iteration,
317,Eliminate Implicit Exception Instantiation,
321,Date/Time Parsing and Formatting,
320,Python 2.4 Release Schedule,
319,Python Synchronize/Asynchronize Block,
316,Programming by Contract for Python,
318,Decorators for Functions and Methods,
315,Enhanced While Loop,
313,Adding Roman Numeral Literals to Python,
312,Simple Implicit Lambda,
314,Metadata for Python Software Packages 1.1,
307,Extensions to the pickle protocol,
308,Conditional Expressions,
306,How to Change Python’s Grammar,
310,Reliable Acquisition/Release Pairs,
309,Partial Function Application,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
303,Extend divmod() for Multiple Divisors,
302,New Import Hooks,
304,Controlling Generation of Bytecode Files,
305,CSV File API,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
295,Interpretation of multiline string constants,
296,Adding a bytes Object Type,
297,Support for System Upgrades,
294,Type Names in the types Module,
293,Codec Error Handling Callbacks,
292,Simpler String Substitutions,
289,Generator Expressions,
290,Code Migration and Modernization,
291,Backward Compatibility for the Python 2 Standard Library,
288,Generators Attributes and Exceptions,
285,Adding a bool type,
286,Enhanced Argument Tuples,
287,reStructuredText Docstring Format,
284,Integer for-loops,
282,A Logging System,
283,Python 2.3 Release Schedule,
281,Loop Counter Iteration with range and xrange,
279,The enumerate() built-in function,
280,Optimizing access to globals,
277,Unicode file name support for Windows NT,
278,Universal Newline Support,
276,Simple Iterator for ints,
275,Switching on Multiple Values,
274,Dict Comprehensions,
273,Import Modules from Zip Archives,
270,uniq method for list objects,
271,Prefixing sys.path by command line option,
272,API for Block Encryption Algorithms v1.0,
269,Pgen Module for Python,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
268,Extended HTTP functionality and WebDAV,
264,Future statements in simulated shells,
263,Defining Python Source Code Encodings,
261,Support for “wide” Unicode characters,
262,A Database of Installed Python Packages,
260,Simplify xrange(),
259,Omit printing newline after newline,
257,Docstring Conventions,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
255,Simple Generators,
251,Python 2.2 Release Schedule,
250,Using site-packages on Windows,
249,Python Database API Specification v2.0,
252,Making Types Look More Like Classes,
248,Python Database API Specification v1.0,
243,Module Repository Upload Mechanism,
247,API for Cryptographic Hash Functions,
246,Object Adaptation,
245,Python Interface Syntax,
241,Metadata for Python Software Packages,
244,The directive statement,
242,Numeric Kinds,
239,Adding a Rational Type to Python,
240,Adding a Rational Literal to Python,
237,Unifying Long Integers and Integers,
238,Changing the Division Operator,
236,Back to the __future__,
234,Iterators,
235,Import on Case-Insensitive Platforms,
233,Python Online Help,
232,Function Attributes,
230,Warning Framework,
229,Using Distutils to Build Python,
231,__findattr__(),
228,Reworking Python’s Numeric Model,
212,Loop Counter Iteration,
210,Decoupling the Interpreter Loop,
211,Adding A New Outer Product Operator,
209,Multi-dimensional Arrays,
208,Reworking the Coercion Model,
207,Rich Comparisons,
206,Python Advanced Library,
204,Range Literals,
201,Lockstep Iteration,
202,List Comprehensions,
205,Weak References,
203,Augmented Assignments,
200,Python 2.0 Release Schedule,
103,Collecting information about git,
102,Doing Python Micro Releases,
101,Doing Python Releases 101,
160,Python 1.6 Release Schedule,
42,Feature Requests,
20,The Zen of Python,
100,Python Unicode Integration,
11,CPython platform support,
13,Python Language Governance,
12,Sample reStructuredText PEP Template,
10,Voting Guidelines,
9,Sample Plaintext PEP Template,
7,Style Guide for C Code,
6,Bug Fix Releases,
3,Guidelines for Handling Bug Reports,
4,Deprecation of Standard Modules,
5,Guidelines for Language Evolution,
8,Style Guide for Python Code,
2,Procedure for Adding New Modules,
